id,Date,satisfaction,nps,frustrations,like_best,satisfaction_matrix:Content_accuracy,satisfaction_matrix:Ease_of_use,satisfaction_matrix:Information_provided_is_up_to_da,satisfaction_matrix:Information_is_easy_to_find,satisfaction_matrix:Visual_appeal,tasks,Look_something_up,Learn_something_new,Find_code_samples,Evaluate_a_product_service,Solve_a_problem,Find_a_reference_architecture,Find_information_about_getting_s,What_is_your_job_role_Enter_stud,What_is_your_age_,gender_dropdown,How_many_years_of_experience_do_,What_are_the_primary_technologie,How_many_employees_does_your_com,URL,Location,Total Time,Device type,Browser,System,IP,visitorId
1,3/7/20 16:54,4,7,"Simplicity is absent in most of the documents. While explaining, it will be good to start with a paragraph where author tries to explain it as if the reader is 10 years old with minimum knowledge.I always have to refer to some other websites to understand the basic idea and then come here.",I can find any term here as long as it is connected to Microsoft technologies even if it is vague and not helpful,7,1,6,6,4,Find_information_about_getting_s / Look_something_up / Learn_something_new / Evaluate_a_product_service / Find_code_samples,7,1,1,1,,,1,Software Develeoper,35-44_years_old,Prefer_not_to_answer,15,,,https://docs.microsoft.com/en-us/aspnet/core/fundamentals/dependency-injection?view=aspnetcore-2.2,,514s,Desktop,Chrome 0.0.0,Win10,,3A7E2E0FC51265FC32B72393C1126652
2,3/7/20 16:53,5,7,,,4,4,4,4,4,Find_a_reference_architecture / Learn_something_new / Find_information_about_getting_s / Solve_a_problem / Evaluate_a_product_service,,4,,4,4,4,4,student,45-54_years_old,Male,Experienced,"BASIC, FORTRAN, COBOL",,https://docs.microsoft.com/en-us/visualstudio/releases/2019/system-requirements#microsoft-visual-c-2015-2019-redistributable-system-requirements,,232s,Desktop,IE 11.0.0,Win10,,148066E79D8664BB0BBB68619CA36583
3,3/7/20 15:29,7,10,,,7,7,7,7,7,Look_something_up / Solve_a_problem / Find_code_samples / Learn_something_new,7,7,,,7,,,Accounter,35-44_years_old,Male,5,"Query, C++",110,https://docs.microsoft.com/en-us/powerquery-m/number-round,,351s,Desktop,Chrome 0.0.0,Win10,,3A1E48D7EFDD66DB169C4539EBDD65EF
4,3/7/20 15:12,6,8,,,6,5,5,5,5,Learn_something_new / Solve_a_problem,,5,,,5,,,,,,,,,https://docs.microsoft.com/en-us/rest/api/storageservices/file-service-rest-api,,71s,Desktop,Chrome 0.0.0,Win10,,2121F0D14773642128CCFEA2463365DA
5,3/7/20 14:10,7,10,,,7,7,7,7,7,Learn_something_new / Evaluate_a_product_service / Find_information_about_getting_s,,7,,7,,,7,,,,,,,https://developer.microsoft.com/en-us/,,440s,Mobile Phone,Chrome Mobile 0.0.0,Android,,15C22449F2A4636A37CB2A2BF6A46023
6,3/7/20 13:38,6,5,,,7,7,7,5,7,Learn_something_new / Solve_a_problem / Look_something_up / Find_code_samples,6,4,6,,5,,,student,18-24_years_old,Male,,,,https://docs.microsoft.com/en-us/office/vba/language/reference/user-interface-help/log-function,,676s,Desktop,Safari 13.0.5,MacOSX,,39A852DF93D066B309E45C5992AF67AC
7,3/7/20 12:57,6,10,,,6,7,5,7,7,Find_a_reference_architecture / Learn_something_new,,6,,,,7,,asp.net core (.net) developer,18-24_years_old,Male,4-Mar,"C#, ASP.NET Core, .NET Core, Blazor, ASP.NET using WebApi, JavaScript, TypeScript",,https://docs.microsoft.com/ru-ru/ef/core/querying/related-data,,223s,Desktop,Chrome 0.0.0,Win10,,27D5CD4E1F4D638F1FCAC3C81E656205
8,3/7/20 12:48,6,9,,,6,6,6,6,6,Learn_something_new / Find_information_about_getting_s,,6,,,,,6,,,,,,,https://docs.microsoft.com/en-us/sql/t-sql/functions/soundex-transact-sql?view=sql-server-ver15,,82s,Desktop,Chrome 0.0.0,Win10,,0EF194B121EB6F7F149E9AFB25EB6C59
9,3/7/20 12:02,2,2,,,4,1,5,1,1,,,,,,,,,,65-74_years_old,Male,50,phone     + text,,https://docs.microsoft.com/en-us/azure-sphere/app-development/port-rt-app,,177s,Desktop,Chrome 0.0.0,Win7,,10BBD3186FE660390FEEDD9E6E366147
10,3/7/20 11:53,4,5,"What is docs for.?",I don't know.,4,2,2,2,2,,,,,,,,,,55-64_years_old,Male,none,none,0,https://docs.microsoft.com/en-us/windows-server/index,,666s,Desktop,Chrome 0.0.0,Win8,,30602A75AB6D636309EB24F3AAF46263
11,3/7/20 10:09,1,0,Many Open ended points,Include details to reduce Follow ups,2,2,1,1,3,Find_information_about_getting_s,,,,,,,2,,,,,,,https://docs.microsoft.com/en-us/windows-server/identity/ad-fs/deployment/manually-configure-a-service-account-for-a-federation-server-farm,,593s,Desktop,Chrome 0.0.0,Win8.1,,1FC244B2E8936AB235914AC3E9C16B0C
12,3/7/20 9:55,7,10,,,7,7,7,7,7,Solve_a_problem / Look_something_up / Learn_something_new / Find_a_reference_architecture / Find_code_samples / Find_information_about_getting_s / Evaluate_a_product_service,7,7,7,7,7,7,7,IT Pro,35-44_years_old,Male,35,"RSAT, AGPM, Config Manager, PowerShell",500,https://docs.microsoft.com/en-us/surface/surface-diagnostic-toolkit-desktop-mode,,170s,Desktop,Chrome 0.0.0,Win10,,2B36F1A93C5F6D1C037EFFB93DCF6C23
13,3/7/20 9:28,2,0,"horrible translations, English can't be selected as default language, few confusing examples, many important details not documented at all, in the end better than no docs",mmmmmh,6,1,1,1,4,Look_something_up,3,,,,,,,coder,45-54_years_old,Male,30,".net, mfc, c++, python, c#, windows os",10,https://docs.microsoft.com/en-us/cpp/mfc/reference/cmenu-class?view=vs-2019,,414s,Desktop,Firefox 73.0.0,Win7,,2621B9DC72076C600454B41376076FFB
14,3/7/20 7:32,4,6,,,6,4,6,3,5,Find_information_about_getting_s / Find_code_samples / Evaluate_a_product_service / Look_something_up / Find_a_reference_architecture,5,,3,4,,3,5,Developer,25-34_years_old,Male,5,".net, .net core",2000,https://docs.microsoft.com/en-us/dotnet/api/system.appdomain.setthreadprincipal?redirectedfrom=MSDN&view=netframework-4.8#System_AppDomain_SetThreadPrincipal_System_Security_Principal_IPrincipal_,,167s,Desktop,Chrome 0.0.0,Win8.1,,2370AC33FC7C61CF2B3FA1C7F87C62B6
15,3/7/20 7:29,5,8,,,5,5,4,5,4,,,,,,,,,,45-54_years_old,Male,,,,https://docs.microsoft.com/en-US/schooldatasync/clever-format-csv-files-for-sds,,29s,Desktop,Chrome 0.0.0,Win10,,38EC9154A1226BAF06C19FD2A0496AFD
